[2026-01-06 17:49:49] [DE] n_iter = 0, time = 0.001 s, [Ackley] best_obj = 2.084236e+01
[2026-01-06 17:49:49] [DE] n_iter = 1, time = 0.002 s, [Ackley] best_obj = 2.064359e+01
[2026-01-06 17:49:49] [DE] n_iter = 2, time = 0.003 s, [Ackley] best_obj = 2.064359e+01
[2026-01-06 17:49:49] [DE] n_iter = 3, time = 0.003 s, [Ackley] best_obj = 2.064359e+01
[2026-01-06 17:49:49] [DE] n_iter = 4, time = 0.003 s, [Ackley] best_obj = 2.062994e+01
[2026-01-06 17:49:49] [DE] n_iter = 5, time = 0.004 s, [Ackley] best_obj = 2.061192e+01
[2026-01-06 17:49:49] [DE] n_iter = 6, time = 0.004 s, [Ackley] best_obj = 2.055535e+01
[2026-01-06 17:49:49] [DE] n_iter = 7, time = 0.004 s, [Ackley] best_obj = 2.030543e+01
[2026-01-06 17:49:49] [DE] n_iter = 8, time = 0.005 s, [Ackley] best_obj = 2.030543e+01
[2026-01-06 17:49:49] [DE] n_iter = 9, time = 0.005 s, [Ackley] best_obj = 2.030543e+01
[2026-01-06 17:49:49] [DE] n_iter = 10, time = 0.006 s, [Ackley] best_obj = 2.018441e+01
[2026-01-06 17:49:49] [DE] n_iter = 11, time = 0.006 s, [Ackley] best_obj = 2.010789e+01
[2026-01-06 17:49:49] [DE] n_iter = 12, time = 0.006 s, [Ackley] best_obj = 1.987882e+01
[2026-01-06 17:49:49] [DE] n_iter = 13, time = 0.007 s, [Ackley] best_obj = 1.987882e+01
[2026-01-06 17:49:49] [DE] n_iter = 14, time = 0.007 s, [Ackley] best_obj = 1.987882e+01
[2026-01-06 17:49:49] [DE] n_iter = 15, time = 0.007 s, [Ackley] best_obj = 1.987882e+01
[2026-01-06 17:49:49] [DE] n_iter = 16, time = 0.007 s, [Ackley] best_obj = 1.975925e+01
[2026-01-06 17:49:49] [DE] n_iter = 17, time = 0.008 s, [Ackley] best_obj = 1.975925e+01
[2026-01-06 17:49:49] [DE] n_iter = 18, time = 0.008 s, [Ackley] best_obj = 1.962956e+01
[2026-01-06 17:49:49] [DE] n_iter = 19, time = 0.008 s, [Ackley] best_obj = 1.962956e+01
[2026-01-06 17:49:49] [DE] n_iter = 20, time = 0.009 s, [Ackley] best_obj = 1.962956e+01
[2026-01-06 17:49:49] [DE] n_iter = 21, time = 0.009 s, [Ackley] best_obj = 1.962956e+01
[2026-01-06 17:49:49] [DE] n_iter = 22, time = 0.009 s, [Ackley] best_obj = 1.962956e+01
[2026-01-06 17:49:49] [DE] n_iter = 23, time = 0.009 s, [Ackley] best_obj = 1.962956e+01
[2026-01-06 17:49:49] [DE] n_iter = 24, time = 0.010 s, [Ackley] best_obj = 1.962956e+01
[2026-01-06 17:49:49] [DE] n_iter = 25, time = 0.010 s, [Ackley] best_obj = 1.904830e+01
[2026-01-06 17:49:49] [DE] n_iter = 26, time = 0.010 s, [Ackley] best_obj = 1.904830e+01
[2026-01-06 17:49:49] [DE] n_iter = 27, time = 0.010 s, [Ackley] best_obj = 1.904830e+01
[2026-01-06 17:49:49] [DE] n_iter = 28, time = 0.011 s, [Ackley] best_obj = 1.903414e+01
[2026-01-06 17:49:49] [DE] n_iter = 29, time = 0.011 s, [Ackley] best_obj = 1.903414e+01
[2026-01-06 17:49:49] [DE] n_iter = 30, time = 0.011 s, [Ackley] best_obj = 1.804941e+01
[2026-01-06 17:49:49] [DE] n_iter = 31, time = 0.011 s, [Ackley] best_obj = 1.804941e+01
[2026-01-06 17:49:49] [DE] n_iter = 32, time = 0.012 s, [Ackley] best_obj = 1.804941e+01
[2026-01-06 17:49:49] [DE] n_iter = 33, time = 0.012 s, [Ackley] best_obj = 1.758580e+01
[2026-01-06 17:49:49] [DE] n_iter = 34, time = 0.012 s, [Ackley] best_obj = 1.758580e+01
[2026-01-06 17:49:49] [DE] n_iter = 35, time = 0.012 s, [Ackley] best_obj = 1.758580e+01
[2026-01-06 17:49:49] [DE] n_iter = 36, time = 0.012 s, [Ackley] best_obj = 1.758580e+01
[2026-01-06 17:49:49] [DE] n_iter = 37, time = 0.013 s, [Ackley] best_obj = 1.758580e+01
[2026-01-06 17:49:49] [DE] n_iter = 38, time = 0.013 s, [Ackley] best_obj = 1.644016e+01
[2026-01-06 17:49:49] [DE] n_iter = 39, time = 0.013 s, [Ackley] best_obj = 1.644016e+01
[2026-01-06 17:49:49] [DE] n_iter = 40, time = 0.013 s, [Ackley] best_obj = 1.644016e+01
[2026-01-06 17:49:49] [DE] n_iter = 41, time = 0.014 s, [Ackley] best_obj = 1.644016e+01
[2026-01-06 17:49:49] [DE] n_iter = 42, time = 0.014 s, [Ackley] best_obj = 1.614743e+01
